"id";"id_orcamento";"id_produto";"description";"cores";"quantidade";"prazo";"desconto";"unitario";"total";"comissao_externa"
"53";"22";"57";"Caneta Ecológica";"1";"250";"15 dias úteis";"0";"1.28";"320.00";"0.00"
"54";"22";"51";"Caneta de Plástico";"1";"250";"15 dias úteis";"0";"1.28";"320.00";"0.00"
"55";"23";"69";"Chaveiro mini ferramenta";"1";"2000";"15 dias úteis";"0";"3.93";"7866.00";"0.00"
"56";"23";"71";"Canivete multifunções";"1";"2000";"10 dias úteis";"0";"5.34";"10674.00";"0.00"
"57";"24";"6";"Chaveiro gel";"4";"150";"25 dias úteis";"0";"1.61";"241.50";"0.00"
"58";"24";"45";"Caneta de Plástico";"1";"250";"15 dias úteis";"0";"1.33";"332.50";"0.00"
"59";"24";"46";"Caneta de Plástico";"1";"250";"15 dias úteis";"0";"1.25";"312.50";"0.00"
"60";"24";"75";"Escova com espelho";"1";"50";"10 dias úteis";"0";"6.06";"303.00";"0.00"
"61";"25";"54";"Caneta de Plástico";"1";"300";"15 dias úteis";"0";"0.94";"282.00";"0.00"
"62";"26";"54";"Caneta de Plástico";"1";"250";"15 dias úteis";"0";"0.99";"247.50";"0.00"
"63";"26";"57";"Caneta Ecológica";"1";"250";"15 dias úteis";"0";"1.19";"297.50";"0.00"
"64";"26";"102";"Pasta zip zap";"1";"150";"25 à 30 dias úteis";"0";"4.20";"630.00";"0.00"
"65";"27";"100";"Pen drive giratório 2gb";"1";"250";"10 dias úteis";"0";"28.62";"7155.00";"0.00"
"66";"28";"55";"Caneta de Plástico";"1";"1000";"15 dias úteis";"0";"0.59";"590.00";"0.00"
"67";"28";"74";"Trena de 5 metros";"1";"1000";"15 dias úteis";"0";"6.86";"6859.32";"0.00"
"68";"29";"113";"Squeeze de metal";"1";"400";"10 dias úteis";"0";"11.06";"4424.00";"0.00"
"69";"30";"6";"Chaveiro gel";"4";"150";"25 dias úteis";"0";"1.61";"241.50";"0.00"
"70";"31";"11";"Chaveiro emborrachado";"4";"2500";"30 dias úteis";"0";"2.40";"6000.00";"0.00"
"71";"32";"8";"Chaveiro abridor long neck";"4";"50";"15 dias úteis";"0";"3.74";"187.20";"0.00"
"72";"33";"6";"Chaveiro gel";"3";"15000";"25 dias úteis";"0";"0.87";"12990.00";"0.00"
"73";"34";"8";"Chaveiro abridor long neck";"4";"100";"15 dias úteis";"0";"2.53";"252.72";"0.00"
"74";"35";"22";"Caneta de metal";"1";"1000";"10 dias úteis";"0";"7.89";"7890.00";"0.00"
"75";"35";"30";"Caneta de metal";"1";"1000";"10 dias úteis";"0";"7.89";"7885.00";"0.00"
"76";"36";"33";"Caneta de Metal";"1";"50";"10 dias úteis";"0";"7.68";"384.00";"0.00"
